datetime,Rain
7/26/12,8.6
7/27/12,3.6
7/28/12,0
7/29/12,1.5
7/30/12,5.6
7/31/12,0
8/1/12,0
8/2/12,0
8/3/12,0
8/4/12,3.6
8/5/12,0
8/6/12,0
8/7/12,0
8/8/12,4.6
8/9/12,10.2
8/10/12,0
8/11/12,0
8/12/12,0
8/13/12,1.8
8/14/12,0
8/15/12,0
8/16/12,16.3
8/17/12,0
8/18/12,0
8/19/12,0
8/20/12,0
8/21/12,0
8/22/12,0
8/23/12,0
8/24/12,0
8/25/12,0
8/26/12,3.8
8/27/12,0
8/28/12,0
8/29/12,0
8/30/12,0
8/31/12,0
9/1/12,0
9/2/12,0
9/3/12,0.3
9/4/12,8.1
9/5/12,3.3
9/6/12,0
9/7/12,0.8
9/8/12,9.9
9/9/12,0
9/10/12,0
9/11/12,0
9/12/12,0
9/13/12,0.5
9/14/12,0
9/15/12,0
9/16/12,0
9/17/12,1.3
9/18/12,0
9/19/12,0.8
9/20/12,0
9/21/12,1
9/22/12,7.9
9/23/12,0
9/24/12,0
9/25/12,0
9/26/12,0
9/27/12,0
9/28/12,0
9/29/12,0
9/30/12,0
10/1/12,0
10/2/12,0
10/3/12,0
10/4/12,0
10/5/12,0
10/6/12,0
10/7/12,0
10/8/12,0
10/9/12,3.8
10/10/12,0
10/11/12,0
10/12/12,0
10/13/12,21.8
10/14/12,44.2
10/15/12,0
10/16/12,0
10/17/12,15.7
10/18/12,1.3
10/19/12,1.8
10/20/12,0
10/21/12,0
10/22/12,13
10/23/12,3.8
10/24/12,0
10/25/12,10.4
10/26/12,0
10/27/12,0
10/28/12,0
10/29/12,0
10/30/12,0
10/31/12,0
11/1/12,0
11/2/12,0
11/3/12,0
11/4/12,0
11/5/12,0
11/6/12,3.6
11/7/12,0
11/8/12,0
11/9/12,0
11/10/12,0
11/11/12,18.5
11/12/12,0
11/13/12,0
11/14/12,0
11/15/12,0
11/16/12,0
11/17/12,0
11/18/12,0
11/19/12,0.8
11/20/12,0
11/21/12,0
11/22/12,0
11/23/12,0
11/24/12,0
11/25/12,0
11/26/12,0
11/27/12,0
11/28/12,0
11/29/12,0
11/30/12,0
12/1/12,3.6
12/2/12,0
12/3/12,0.5
12/4/12,0
12/5/12,0
12/6/12,0
12/7/12,0
12/8/12,0
12/9/12,9.1
12/10/12,1.3
12/11/12,0
12/12/12,0
12/13/12,0
12/14/12,0
12/15/12,10.7
12/16/12,2.8
12/17/12,0
12/18/12,2.5
12/19/12,4.3
12/20/12,29.5
12/21/12,0
12/22/12,0
12/23/12,0
12/24/12,0
12/25/12,0
12/26/12,0
12/27/12,0
12/28/12,1.8
12/29/12,0
12/30/12,0
12/31/12,0
1/1/13,0
1/2/13,0
1/3/13,0
1/4/13,0
1/5/13,0
1/6/13,0
1/7/13,0
1/8/13,0
1/9/13,0
1/10/13,6.1
1/11/13,1
1/12/13,0
1/13/13,0
1/14/13,0
1/15/13,0
1/16/13,0
1/17/13,0
1/18/13,0
1/19/13,0
1/20/13,0
1/21/13,0
1/22/13,0
1/23/13,0.5
1/24/13,0
1/25/13,1
1/26/13,0
1/27/13,4.3
1/28/13,1.8
1/29/13,46.7
1/30/13,10.9
1/31/13,0.5
2/1/13,1.8
2/2/13,0.8
2/3/13,1.3
2/4/13,2.8
2/5/13,2.5
2/6/13,0
2/7/13,14
2/8/13,0
2/9/13,0
2/10/13,16.5
2/11/13,0
2/12/13,0
2/13/13,0
2/14/13,0.3
2/15/13,0
2/16/13,0
2/17/13,0
2/18/13,4.6
2/19/13,0
2/20/13,0
2/21/13,1
2/22/13,5.1
2/23/13,0
2/24/13,0
2/25/13,0
2/26/13,4.3
